,category,sub,phase,high_level,mid_level,fine_level
143,Dsmalltoolwateringcan,2,D,small,tool,wateringcan
144,Ebignottoolchair,3,E,big,nottool,chair
145,Ebignottoollamppost,3,E,big,nottool,lamppost
146,Ebignottooltv,3,E,big,nottool,tv
147,Ebigtoolguitar,3,E,big,tool,guitar
148,Ebigtoolleafblower,3,E,big,tool,leafblower
149,Ebigtoolumbrella,3,E,big,tool,umbrella
150,Eclosedmanmadebathroom,3,E,closed,manmade,bathroom
151,Eclosedmanmadeconferencehall,3,E,closed,manmade,conferencehall
152,Eclosedmanmadelivingroom,3,E,closed,manmade,livingroom
153,Eclosednaturalcave,3,E,closed,natural,cave
154,Eclosednaturalforestccanopy,3,E,closed,natural,forestccanopy
155,Eclosednaturalicecave,3,E,closed,natural,icecave
156,Eopenmanmadecity,3,E,open,manmade,city
157,Eopenmanmadefarmhouse,3,E,open,manmade,farmhouse
158,Eopenmanmadesuburbs,3,E,open,manmade,suburbs
159,Eopennaturalgarden,3,E,open,natural,garden
160,Eopennaturallake,3,E,open,natural,lake
161,Eopennaturalmountains,3,E,open,natural,mountains
162,Esmallnottoolbowl,3,E,small,nottool,bowl
163,Esmallnottoolcupcake,3,E,small,nottool,cupcake
164,Esmallnottoolflowers,3,E,small,nottool,flowers
165,Esmalltooldrill,3,E,small,tool,drill
166,Esmalltoolhairbrush,3,E,small,tool,hairbrush
167,Esmalltoolwateringcan,3,E,small,tool,wateringcan
168,Rbignottoolchair,3,R,big,nottool,chair
169,Rbignottoollamppost,3,R,big,nottool,lamppost
170,Rbignottooltv,3,R,big,nottool,tv
171,Rbigtoolguitar,3,R,big,tool,guitar
172,Rbigtoolleafblower,3,R,big,tool,leafblower
173,Rbigtoolumbrella,3,R,big,tool,umbrella
174,Rclosedmanmadebathroom,3,R,closed,manmade,bathroom
175,Rclosedmanmadeconferencehall,3,R,closed,manmade,conferencehall
176,Rclosedmanmadelivingroom,3,R,closed,manmade,livingroom
