,roi,phase,sub,corr,shuff_corr,roi_group
301,tail,R,16,0.004477306801144882,0.05298327459646801,hpc
302,tail,R,17,0.22485809277835647,0.05261319330489006,hpc
303,tail,R,18,0.017891867981335883,0.045237117050270406,hpc
304,tail,R,19,0.13648606612348568,0.05095925571838302,hpc
305,tail,R,20,0.05565902313037771,0.049284816141322164,hpc
306,tail,R,21,0.06429189081206034,0.047814300595025755,hpc
307,tail,R,22,0.07913129093477549,0.054722632382528794,hpc
308,PRC,E,1,0.013350109892389933,0.04815666075337421,none
309,PRC,E,2,0.031679342475135916,0.04742160071916782,none
310,PRC,E,3,0.010147416630885931,0.07429106435761652,none
311,PRC,E,4,0.1088483326436552,0.05169796663860391,none
312,PRC,E,5,0.07071702743967695,0.05331266391746693,none
313,PRC,E,6,0.03008739520208195,0.054811004355680835,none
314,PRC,E,7,0.2497355916724933,0.05364486808122031,none
315,PRC,E,8,0.06154307158859035,0.04896548850615716,none
316,PRC,E,9,0.04681782508811232,0.0464359127295558,none
317,PRC,E,10,0.048782408926813264,0.047220496282872684,none
318,PRC,E,11,0.07978995733508369,0.04338193804312152,none
319,PRC,E,12,0.03298411837730626,0.04744840969735021,none
320,PRC,E,13,0.053455858221201184,0.050876243204292175,none
321,PRC,E,14,0.01041823033347127,0.04870234157617615,none
322,PRC,E,15,0.07871496300116636,0.05161606281428262,none
323,PRC,E,16,0.05687026616561849,0.0512688136451255,none
324,PRC,E,17,0.15737047131176782,0.04478360183216564,none
325,PRC,E,18,0.024851814329133432,0.04800213467273583,none
326,PRC,E,19,0.08276936687547268,0.04432525220815913,none
327,PRC,E,20,,,none
328,PRC,E,21,0.32185214252079736,0.04703326151167934,none
329,PRC,E,22,0.39226323825287884,0.047622202879525115,none
330,PRC,R,1,0.03729968536541628,0.05345080629743418,none
331,PRC,R,2,0.0015650461608709922,0.0515317304262211,none
332,PRC,R,3,0.04430609226659033,0.07982348170411718,none
333,PRC,R,4,0.03788701645239081,0.05584147486479931,none
334,PRC,R,5,0.010538662404931436,0.044463086999329354,none
335,PRC,R,6,0.03541602754201179,0.0552285583867234,none
336,PRC,R,7,0.04581783935731511,0.047576261754255784,none
337,PRC,R,8,0.051264679442359566,0.04568337209800089,none
338,PRC,R,9,0.017467787274724964,0.04759297955223242,none
339,PRC,R,10,0.014895335397611337,0.050795901884961706,none
340,PRC,R,11,0.009257287995319701,0.05101553916182706,none
341,PRC,R,12,0.060531670495569415,0.04468090352592001,none
342,PRC,R,13,0.005244788173684736,0.045062028224483096,none
343,PRC,R,14,0.06732951869979024,0.04850240150682782,none
344,PRC,R,15,0.005147083887241367,0.05623483329405959,none
345,PRC,R,16,0.10178449736170875,0.054255291185576045,none
346,PRC,R,17,0.19367646009617445,0.04885144903754228,none
347,PRC,R,18,0.07796349937928967,0.04743991096017466,none
348,PRC,R,19,0.06859719467473353,0.04962807608338922,none
349,PRC,R,20,,,none
350,PRC,R,21,0.08859348468201081,0.050528171687047846,none
351,PRC,R,22,0.20228478474907607,0.051090195630770115,none
352,EVC,E,1,0.013736178234637667,0.05167345435575494,visual
353,EVC,E,2,0.06620282244830981,0.05306525877199241,visual
354,EVC,E,3,0.11669767663756501,0.0684932970755212,visual
355,EVC,E,4,0.08592742683466277,0.04588061243418329,visual
356,EVC,E,5,0.05415504915740357,0.053544441432057194,visual
357,EVC,E,6,0.11203836674565877,0.055654196881516294,visual
358,EVC,E,7,0.49335825687418844,0.04776095660735435,visual
359,EVC,E,8,0.17281031948745024,0.049812434183302175,visual
360,EVC,E,9,0.3900435210684779,0.05117407000470884,visual
361,EVC,E,10,0.07852056905580686,0.052826563547894584,visual
362,EVC,E,11,0.4934393059459768,0.04414834833977825,visual
363,EVC,E,12,0.2732341148100056,0.043269097187540136,visual
364,EVC,E,13,0.3702584152623393,0.045791789500720596,visual
365,EVC,E,14,0.2808304676017751,0.058747888871448765,visual
366,EVC,E,15,0.31073610857931294,0.050125105409254675,visual
367,EVC,E,16,0.15722658151443758,0.05052158336416206,visual
368,EVC,E,17,0.4407151724433157,0.05641278520569057,visual
369,EVC,E,18,0.2670116008618599,0.05012203592985261,visual
370,EVC,E,19,0.3805818980893537,0.04486026740486009,visual
371,EVC,E,20,0.3288303534481529,0.051601563904624656,visual
372,EVC,E,21,0.5351282087869752,0.049374826272456165,visual
373,EVC,E,22,0.4778676103366105,0.04768706496768026,visual
374,EVC,R,1,0.059757599470026714,0.0445754952567688,visual
375,EVC,R,2,0.01262596138753728,0.04208068378019721,visual
376,EVC,R,3,0.006974858069748581,0.06845274557511569,visual
377,EVC,R,4,0.04963171187625748,0.047821709165108944,visual
378,EVC,R,5,0.02766113497238909,0.04516186698249169,visual
379,EVC,R,6,0.029190027135936072,0.054403587397425124,visual
380,EVC,R,7,0.08633666757038284,0.045098842767654565,visual
381,EVC,R,8,0.015151610279533682,0.05353456143605257,visual
382,EVC,R,9,0.05809106605213967,0.04609006150026398,visual
383,EVC,R,10,0.018300537948944793,0.04880481157517729,visual
384,EVC,R,11,0.029306088668826075,0.053568465061857015,visual
385,EVC,R,12,0.09434739801087315,0.04335237225496212,visual
386,EVC,R,13,0.033154778042550764,0.047101302778213776,visual
